"DT_NOTIFIC_epiyearweek","UF","epiyear","epiweek","SRAG","Tipo","Situation","mean","50%","2.5%","97.5%","L0","L1","L2","L3","Run date"
"2009W06","23",2009,6,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W06","24",2009,6,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W06","25",2009,6,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W06","26",2009,6,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W06","27",2009,6,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W06","28",2009,6,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W06","29",2009,6,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W06","31",2009,6,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W06","32",2009,6,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W06","33",2009,6,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W06","35",2009,6,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W06","41",2009,6,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W06","42",2009,6,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W06","43",2009,6,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W06","50",2009,6,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W06","51",2009,6,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W06","52",2009,6,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W06","53",2009,6,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W06","BR",2009,6,0,"País","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W06","RegC",2009,6,0,"Regional","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W06","RegL",2009,6,0,"Regional","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W06","RegN",2009,6,0,"Regional","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W06","RegS",2009,6,0,"Regional","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W07","11",2009,7,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W07","12",2009,7,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W07","13",2009,7,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W07","14",2009,7,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W07","15",2009,7,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W07","16",2009,7,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W07","17",2009,7,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W07","21",2009,7,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W07","22",2009,7,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W07","23",2009,7,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W07","24",2009,7,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W07","25",2009,7,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W07","26",2009,7,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W07","27",2009,7,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W07","28",2009,7,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W07","29",2009,7,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W07","31",2009,7,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W07","32",2009,7,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W07","33",2009,7,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W07","35",2009,7,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W07","41",2009,7,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W07","42",2009,7,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W07","43",2009,7,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W07","50",2009,7,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W07","51",2009,7,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W07","52",2009,7,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W07","53",2009,7,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W07","BR",2009,7,0,"País","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W07","RegC",2009,7,0,"Regional","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W07","RegL",2009,7,0,"Regional","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W07","RegN",2009,7,0,"Regional","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W07","RegS",2009,7,0,"Regional","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W08","11",2009,8,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W08","12",2009,8,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W08","13",2009,8,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W08","14",2009,8,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W08","15",2009,8,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W08","16",2009,8,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W08","17",2009,8,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W08","21",2009,8,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W08","22",2009,8,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W08","23",2009,8,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W08","24",2009,8,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W08","25",2009,8,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W08","26",2009,8,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W08","27",2009,8,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W08","28",2009,8,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W08","29",2009,8,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W08","31",2009,8,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W08","32",2009,8,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W08","33",2009,8,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W08","35",2009,8,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W08","41",2009,8,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W08","42",2009,8,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W08","43",2009,8,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W08","50",2009,8,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W08","51",2009,8,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W08","52",2009,8,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W08","53",2009,8,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W08","BR",2009,8,0,"País","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W08","RegC",2009,8,0,"Regional","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W08","RegL",2009,8,0,"Regional","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W08","RegN",2009,8,0,"Regional","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W08","RegS",2009,8,0,"Regional","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W09","11",2009,9,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W09","12",2009,9,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W09","13",2009,9,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W09","14",2009,9,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W09","15",2009,9,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W09","16",2009,9,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W09","17",2009,9,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W09","21",2009,9,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W09","22",2009,9,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W09","23",2009,9,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W09","24",2009,9,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
