UF,População,isoweek,corredor baixo,corredor mediano,corredor alto
Santa Catarina,6819190,46,0.044398694851402104,0.08177813161434519,0.1506274639990227
Santa Catarina,6819190,47,0.031105045908383575,0.09210335315847538,0.27272191425213277
Santa Catarina,6819190,48,0.043194526854947686,0.07389488357819192,0.12641540992847047
Santa Catarina,6819190,49,0.03935721317563011,0.07509682053430394,0.1432909497223609
Santa Catarina,6819190,50,0.015495654264933035,0.037548410267151965,0.09098571054085507
Santa Catarina,6819190,51,0.01488424763389108,0.03855058094484632,0.09984698775107888
Santa Catarina,6819190,52,0.013399108345801547,0.03157432359212386,0.0744033024117256
Rio Grande do Sul,11247972,1,0.011854826778241463,0.025435226552046,0.054572771231152006
Rio Grande do Sul,11247972,2,0.0436600464003859,0.08231925005427806,0.15520961355274385
Rio Grande do Sul,11247972,3,0.01989241112993261,0.0478439374916756,0.11507113641256804
Rio Grande do Sul,11247972,4,0.02006214127014515,0.04327717997243735,0.0933556533745404
Rio Grande do Sul,11247972,5,0.03173287741444726,0.05779999399784605,0.10528006214242744
Rio Grande do Sul,11247972,6,0.028009953717805024,0.05466385932389684,0.10668127288919158
Rio Grande do Sul,11247972,7,0.04897499606311756,0.07304723223592166,0.10895147659536147
Rio Grande do Sul,11247972,8,0.019279370645218934,0.048307403575429175,0.12104156733861512
Rio Grande do Sul,11247972,9,0.009010405259597723,0.028197746846467857,0.08824385855126192
Rio Grande do Sul,11247972,10,0.05528521686354646,0.10203088453036531,0.18830171949480046
Rio Grande do Sul,11247972,11,0.04189285171625379,0.09890222100419091,0.2334920856143744
Rio Grande do Sul,11247972,12,0.024139539920039324,0.07202781830074291,0.21491737731331137
Rio Grande do Sul,11247972,13,0.03566611322639669,0.08593475702792351,0.2070531885146019
Rio Grande do Sul,11247972,14,0.0670793049699639,0.1245602885150972,0.23129734993395543
Rio Grande do Sul,11247972,15,0.04439005890579712,0.1268171450018662,0.3623015752367936
Rio Grande do Sul,11247972,16,0.10153978796991465,0.19650820095549368,0.3802989332044511
Rio Grande do Sul,11247972,17,0.17658936103857747,0.2845904575651098,0.458644439624113
Rio Grande do Sul,11247972,18,0.1416968251917894,0.28423218800094724,0.5701464135590742
Rio Grande do Sul,11247972,19,0.16534601356305956,0.34649487468095813,0.7261057922898454
Rio Grande do Sul,11247972,20,0.20979189783476684,0.38267671456233,0.6980320468980029
Rio Grande do Sul,11247972,21,0.19055160646715863,0.389436820544653,0.7959053193396555
Rio Grande do Sul,11247972,22,0.22066610579614102,0.42226730806875246,0.8080519607680908
Rio Grande do Sul,11247972,23,0.2909260695950662,0.5551459280768541,1.0593309904790271
Rio Grande do Sul,11247972,24,0.23103457090023177,0.5642492607655573,1.3780501638084435
Rio Grande do Sul,11247972,25,0.18288919679822319,0.5210017990010101,1.4841930486564747
Rio Grande do Sul,11247972,26,0.29650887037164825,0.6085467860743465,1.2489649647824732
Rio Grande do Sul,11247972,27,0.2899612544453521,0.6223812448632756,1.3358971518402114
Rio Grande do Sul,11247972,28,0.24723037914117135,0.5571025560537981,1.255360522601692
Rio Grande do Sul,11247972,29,0.17835805336472776,0.49673801624527625,1.383445558685883
Rio Grande do Sul,11247972,30,0.30026255362621423,0.5154511068351569,0.8848584025177373
Rio Grande do Sul,11247972,31,0.18769363882711376,0.4344044921510253,1.0054004172981594
Rio Grande do Sul,11247972,32,0.1776332129266591,0.33073409643239743,0.6157916120569021
Rio Grande do Sul,11247972,33,0.16716525040337865,0.35657331414035814,0.7605918577589065
Rio Grande do Sul,11247972,34,0.10280882798776593,0.274565782737347,0.7332674686179954
Rio Grande do Sul,11247972,35,0.07576960408739017,0.21960808882254415,0.6365047469519067
Rio Grande do Sul,11247972,36,0.03703026752952136,0.15835330880308454,0.677169571861561
Rio Grande do Sul,11247972,37,0.051141990768324715,0.15400214371995394,0.4637414366167084
Rio Grande do Sul,11247972,38,0.07253696808786576,0.16999036103805606,0.39837235560832046
Rio Grande do Sul,11247972,39,0.02731448101157112,0.10717234540460867,0.4205063099920887
Rio Grande do Sul,11247972,40,0.02771681541345122,0.10926927406252229,0.43077727639504076
Rio Grande do Sul,11247972,41,0.02922432982156327,0.10803843379725181,0.3994036218668295
Rio Grande do Sul,11247972,42,0.03757718852569768,0.12238228323285662,0.39857753698216747
Rio Grande do Sul,11247972,43,0.025175700851040813,0.08944281803385516,0.31776742761489357
Rio Grande do Sul,11247972,44,0.01834799973145258,0.08090465589194837,0.3567453368649235
Rio Grande do Sul,11247972,45,0.019590405428875305,0.08816386097163552,0.3967690413374013
Rio Grande do Sul,11247972,46,0.03745665363325506,0.09770606113055894,0.2548672520273646
Rio Grande do Sul,11247972,47,0.017749769798832304,0.06730924942632163,0.25524472202635706
Rio Grande do Sul,11247972,48,0.033169035375235134,0.07982778573843859,0.19212121497690327
Rio Grande do Sul,11247972,49,0.019882937962022,0.06414921316533535,0.20696747923228676
Rio Grande do Sul,11247972,50,0.021466199103482037,0.06294228238600308,0.1845567020440391
Rio Grande do Sul,11247972,51,0.01609924913467257,0.043317566457377076,0.11655273783844346
Rio Grande do Sul,11247972,52,0.034827289407087555,0.07693526318919768,0.16995393045967447
Mato Grosso do Sul,2651235,1,0.027206540541875313,0.05432152949942867,0.108460263906596
Mato Grosso do Sul,2651235,2,0.0,0.0773015871175359,0.0773015871175359
Mato Grosso do Sul,2651235,3,0.0,0.0773015871175359,0.0773015871175359
Mato Grosso do Sul,2651235,4,0.055054689042360466,0.107324448516757,0.20921991295897377
Mato Grosso do Sul,2651235,5,0.030948256319294164,0.048102234547036306,0.07476430802906264
Mato Grosso do Sul,2651235,6,0.02672832864233603,0.053997057376951534,0.10908584088387535
Mato Grosso do Sul,2651235,7,0.03319068137724069,0.08225366405683292,0.20384231266230163
Mato Grosso do Sul,2651235,8,0.04063557048433567,0.09724518646144341,0.23271794088792888
Mato Grosso do Sul,2651235,9,0.042086269048536636,0.141976900186247,0.4789552659858888
Mato Grosso do Sul,2651235,10,0.04558853002356736,0.1124588963866179,0.2774163450753532
Mato Grosso do Sul,2651235,11,0.2730203134763247,0.42593070055874094,0.6644815521911399
Mato Grosso do Sul,2651235,12,0.06617339480550377,0.2616820160105539,1.0348188679848773
Mato Grosso do Sul,2651235,13,0.06503507808608688,0.17022903731025926,0.44557377335996395
Mato Grosso do Sul,2651235,14,0.3220525158752647,0.3673791353958345,0.41908515683344516
Mato Grosso do Sul,2651235,15,0.2575804118796855,0.40839685813327187,0.6475181575959029
Mato Grosso do Sul,2651235,16,0.04594352976239275,0.16067229860721507,0.5618982188185622
Mato Grosso do Sul,2651235,17,0.11780791949399884,0.2001133598678773,0.33992075379661113
Mato Grosso do Sul,2651235,18,0.09137136347700785,0.19295535709662132,0.4074774460562081
Mato Grosso do Sul,2651235,19,0.0665844786431749,0.22049365680555202,0.7301619488833827
Mato Grosso do Sul,2651235,20,0.058128818755121874,0.21923961359683322,0.8268877503356031
Mato Grosso do Sul,2651235,21,0.19607997195384602,0.3772761944313143,0.7259146636255065
Mato Grosso do Sul,2651235,22,0.2162293265356074,0.400900824029624,0.7432917323597401
Mato Grosso do Sul,2651235,23,0.2822967628044756,0.6188182685746897,1.3565017385162368
Mato Grosso do Sul,2651235,24,0.38095566960134,0.7115024294181563,1.328857259422601
Mato Grosso do Sul,2651235,25,0.5002985627411182,0.7701928586507227,1.185686075663433
Mato Grosso do Sul,2651235,26,0.4992619736356376,0.8168120176349415,1.336336247069709
Mato Grosso do Sul,2651235,27,0.47443176903242273,0.9103166146434419,1.7466712665257138
Mato Grosso do Sul,2651235,28,0.3115816768387938,0.8256942808510199,2.188097362935812
Mato Grosso do Sul,2651235,29,0.38338946404942154,0.6386341706013333,1.0638101515671223
Mato Grosso do Sul,2651235,30,0.10039597847818263,0.34993439905430196,1.2197110431879132
Mato Grosso do Sul,2651235,31,0.22904724590486816,0.4860134764001474,1.0312680176938824
Mato Grosso do Sul,2651235,32,0.06687071655378722,0.25983941647155134,1.0096575277157323
Mato Grosso do Sul,2651235,33,0.18931168924004857,0.3363305472984251,0.5975237847179284
Mato Grosso do Sul,2651235,34,0.15100685602010058,0.3010188441282042,0.6000545068511237
Mato Grosso do Sul,2651235,35,0.046677122797708324,0.14061733410412958,0.4236172554218188
Mato Grosso do Sul,2651235,36,0.1347193598548631,0.2340152367453149,0.406497856640379
Mato Grosso do Sul,2651235,37,0.12215933042352733,0.22491779277323573,0.41411501954533614
Mato Grosso do Sul,2651235,38,0.0843756350577144,0.11245889638661785,0.14988928222993855
Mato Grosso do Sul,2651235,39,0.05430479614261732,0.10161808409869985,0.19015327833606605
Mato Grosso do Sul,2651235,40,0.058317887104247366,0.1220845461774307,0.25557572736999395
Mato Grosso do Sul,2651235,41,0.038693918260589,0.10363312277618515,0.2775584541223038
Mato Grosso do Sul,2651235,42,0.036962404308204654,0.11593322848308206,0.3636266016257791
Mato Grosso do Sul,2651235,43,0.019278626726843804,0.07588984533330538,0.29873853082562835
Mato Grosso do Sul,2651235,44,0.02543348292664921,0.06176138067789984,0.14997820606172893
Mato Grosso do Sul,2651235,45,0.06247002241576531,0.09408764903786204,0.14170774011500653
Mato Grosso do Sul,2651235,46,0.036354597889592874,0.06686845986415987,0.12299382152937446
Mato Grosso do Sul,2651235,47,0.03807616237330287,0.061515194069293164,0.09938289117172268
Mato Grosso do Sul,2651235,48,0.03664943606356881,0.054597868850989426,0.08133623878685046
Mato Grosso do Sul,2651235,49,0.04718092875461235,0.07952044823973281,0.13402664710431006
Mato Grosso do Sul,2651235,50,0.03127938001595127,0.08740756095666127,0.24425297779228067
Mato Grosso do Sul,2651235,51,0.06116449369617365,0.09620446909407263,0.15131818011356105
Mato Grosso do Sul,2651235,52,0.02626758234947628,0.055658974981084346,0.11793706229712228
Mato Grosso,3265486,1,0.017777140510999857,0.05537731856791424,0.17250510057423055
Mato Grosso,3265486,2,0.024847074544489763,0.0390817933159049,0.06147148494492812
Mato Grosso,3265486,3,0.0,0.031013935491634444,0.031013935491634444
Mato Grosso,3265486,4,0.0,0.09304180647490336,0.09304180647490336
Mato Grosso,3265486,5,0.0,0.09304180647490336,0.09304180647490336
Mato Grosso,3265486,6,0.03081823562857266,0.031219118823816967,0.03162521670228215
Mato Grosso,3265486,7,0.061127705113910115,0.06375892601351121,0.06650340690560828
Mato Grosso,3265486,8,0.03168456543734668,0.05046175238578058,0.08036684166866931
Mato Grosso,3265486,9,0.028033513152468707,0.06357782404542778,0.14418955228219096
Mato Grosso,3265486,10,0.07870900576391986,0.11075463713582849,0.15584734590450175
Mato Grosso,3265486,11,0.024206185039449924,0.04144766846766658,0.07096984587227799
Mato Grosso,3265486,12,0.03692424091078312,0.05861585487571776,0.0930504827739825
Mato Grosso,3265486,13,0.0795358497512094,0.10675670218444536,0.14329379137770587
Mato Grosso,3265486,14,0.027058253534001594,0.05666703960851747,0.11867555952782131
Mato Grosso,3265486,15,0.03269411646261423,0.07196753840336341,0.15841769542119774
Mato Grosso,3265486,16,0.0,0.4341950968828824,0.4341950968828824
Mato Grosso,3265486,17,0.07453186068029033,0.16046841588788271,0.3454913410524314
Mato Grosso,3265486,18,0.02826622103488669,0.0858264022499117,0.26059979202993505
Mato Grosso,3265486,19,0.023093162250477885,0.06856905086686582,0.20359770073003045
Mato Grosso,3265486,20,0.027015765332034498,0.05600409604990172,0.11609735041070618
Mato Grosso,3265486,21,0.07911187319100671,0.14876792479001608,0.27975441047758937
Mato Grosso,3265486,22,0.0326854930670308,0.07939968694728333,0.19287793133173278
Mato Grosso,3265486,23,0.032839190429337875,0.09585003798218276,0.2797641982360866
Mato Grosso,3265486,24,0.04093473975256356,0.07876424262012251,0.1515535692426872
Mato Grosso,3265486,25,0.03124728123674927,0.07770981628721434,0.19325891112377735
Mato Grosso,3265486,26,0.06114051889429869,0.1545722802242446,0.390781600251521
Mato Grosso,3265486,27,0.03740208124063414,0.05822941833734897,0.09065445150208183
Mato Grosso,3265486,28,0.038570027303235374,0.06486910679873477,0.10910028618291068
Mato Grosso,3265486,29,0.03867189749056985,0.06444144446861046,0.1073828809722523
Mato Grosso,3265486,30,0.031880324942010665,0.06452261914272715,0.13058738857304922
Mato Grosso,3265486,31,0.04979322652582387,0.0759878073855274,0.11596249679191634
Mato Grosso,3265486,32,0.0285243789071703,0.06203847982247119,0.1349292474065292
Mato Grosso,3265486,33,0.021195109938911345,0.04492974364644127,0.09524281166519943
Mato Grosso,3265486,34,0.027132008486470665,0.037452196272340095,0.05169786845383464
Mato Grosso,3265486,35,0.02002910139704566,0.055377318567914266,0.153109585446734
Mato Grosso,3265486,36,0.02956137635728,0.03177012640937182,0.034143908587628974
Mato Grosso,3265486,37,0.023483377497940685,0.04144766846766658,0.07315426503518287
