UF,População,isoweek,corredor baixo,corredor mediano,corredor alto,Unidade da Federação
Cf,94495765,16,0.09672004011032781,0.19028804501317326,0.374374742128224,Região 4
Cf,94495765,17,0.10665945508266876,0.21408713307119764,0.42971624513851653,Região 4
Cf,94495765,18,0.11284587133154618,0.2312620745483769,0.4739397772674032,Região 4
Cf,94495765,19,0.1441461354624928,0.28432787869829657,0.5608360040017072,Região 4
Cf,94495765,20,0.14753579509970427,0.2969522299938078,0.5976897121048022,Região 4
Cf,94495765,21,0.15336699919111105,0.3383573084131365,0.7464817643978378,Região 4
Cf,94495765,22,0.14739064289694476,0.3258427903969428,0.7203545758864917,Região 4
Cf,94495765,23,0.16824393916199296,0.3483119338736758,0.7211029644402601,Região 4
Cf,94495765,24,0.23495187025414632,0.44028567794871204,0.8250688875005284,Região 4
Cf,94495765,25,0.2501015815203515,0.46498069354645605,0.8644769219636056,Região 4
Cf,94495765,26,0.2392149208747769,0.4595884631923336,0.8829781801531531,Região 4
Cf,94495765,27,0.21248515844981417,0.4450716977302298,0.9322477746946013,Região 4
Cf,94495765,28,0.20667454136374744,0.4151456907734062,0.8339002154329184,Região 4
Cf,94495765,29,0.19978118691373656,0.4084672804870576,0.8351412953639861,Região 4
Cf,94495765,30,0.18192173640963724,0.3635998194978255,0.7267126586850662,Região 4
Cf,94495765,31,0.17396126694785222,0.3296470883582378,0.624663206756471,Região 4
Cf,94495765,32,0.13868684325375824,0.2771224551452644,0.5537429026719013,Região 4
Cf,94495765,33,0.1490213020308157,0.27218985772667065,0.49715924931285915,Região 4
Cf,94495765,34,0.15895861314034074,0.26984811766162176,0.4580941237907706,Região 4
Cf,94495765,35,0.1263446983959803,0.22696368114022883,0.40771408069119547,Região 4
Cf,94495765,36,0.10723938513258546,0.1974408016673016,0.3635126228561478,Região 4
Cf,94495765,37,0.12150161149520683,0.20054902232458127,0.331023678290325,Região 4
Cf,94495765,38,0.09766746933511487,0.16801186575523588,0.28902138272570616,Região 4
Cf,94495765,39,0.1045654273500865,0.15950326481145155,0.24330500176061293,Região 4
Cf,94495765,40,0.07728933114710491,0.13200711263836623,0.22546291355467432,Região 4
Cf,94495765,41,0.06812456186789857,0.11794605761761437,0.20420347854145737,Região 4
Cf,94495765,42,0.08089401994771263,0.1260623939478705,0.19645119847103673,Região 4
Cf,94495765,43,0.08101188890789855,0.12589521188401137,0.19564541191403828,Região 4
Cf,94495765,44,0.0666916118266568,0.1057316362287254,0.1676249620216132,Região 4
Cf,94495765,45,0.06096951671564992,0.09618513460586532,0.15174107681213905,Região 4
Cf,94495765,46,0.05432118232281587,0.0870627710168801,0.1395390485444937,Região 4
Cf,94495765,47,0.05124625459374805,0.0860055793358188,0.14434146915767457,Região 4
Cf,94495765,48,0.05562143249162876,0.08524357030959331,0.13064148033620332,Região 4
Cf,94495765,49,0.051064910995380845,0.07489329356477113,0.10984069709798104,Região 4
Cf,94495765,50,0.05400572099949807,0.0804096721891956,0.11972278606620196,Região 4
Cf,94495765,51,0.04654352606153631,0.06804034546426682,0.09946579046838905,Região 4
Cf,94495765,52,0.03744985892972573,0.054181767111681226,0.07838918413159322,Região 4
