UF,isoweek,SRAG2013
43,31,1.0480074288
43,32,0.6897142908
43,33,0.7076289477
43,34,0.6986716192
43,35,0.6001410063
43,36,0.5195250502
43,37,0.2687198536
43,38,0.2239332113
43,39,0.2687198536
43,40,0.277677182
43,41,0.2597625251
43,42,0.2508051966
43,43,0.179146569
43,44,0.179146569
43,45,0.1164452699
43,46,0.1074879414
43,47,0.1612319121
43,48,0.098530613
43,49,0.1164452699
43,50,0.0627012992
43,51,0.0716586276
43,52,0.0627012992
50,1,0.0773015871
50,2,0.0773015871
50,3,0.0773015871
50,4,0
50,5,0.0386507936
50,6,0.0773015871
50,7,0.0386507936
50,8,0
50,9,0
50,10,0.0773015871
50,11,0
50,12,0.0773015871
50,13,0.2705555549
50,14,0.347857142
50,15,0.347857142
50,16,0.3865079356
50,17,0.1546031742
50,18,0.1546031742
50,19,0.2705555549
50,20,0.3092063485
50,21,0.6184126969
50,22,0.7343650776
50,23,1.5846825359
50,24,1.314126981
50,25,1.1595238068
50,26,1.3914285681
50,27,1.8552380908
50,28,1.5073809488
50,29,1.0049206325
50,30,1.0435714261
50,31,1.0049206325
50,32,0.6957142841
50,33,0.4638095227
50,34,0.4251587291
50,35,0.4251587291
50,36,0.3865079356
50,37,0.3092063485
50,38,0.1159523807
50,39,0.1546031742
50,40,0.1932539678
50,41,0.1546031742
50,42,0.1546031742
50,43,0
50,44,0.0386507936
50,45,0.1159523807
50,46,0.1159523807
50,47,0.0773015871
50,48,0.0386507936
50,49,0.1159523807
50,50,0.0773015871
50,51,0.0773015871
50,52,0
51,1,0
51,2,0.0314256596
51,3,0
51,4,0
51,5,0
51,6,0.0314256596
51,7,0
51,8,0.0314256596
51,9,0.0628513192
51,10,0
51,11,0.0942769789
51,12,0.0314256596
51,13,0
51,14,0.0314256596
51,15,0.0314256596
51,16,0
51,17,0
51,18,0
51,19,0
51,20,0.0314256596
51,21,0
51,22,0.1257026385
51,23,0
51,24,0.0628513192
51,25,0.0942769789
51,26,0
51,27,0.0314256596
51,28,0.0628513192
51,29,0.0314256596
51,30,0.0314256596
51,31,0.0942769789
51,32,0.0314256596
51,33,0
51,34,0.0314256596
51,35,0
51,36,0
51,37,0.0314256596
51,38,0
51,39,0
51,40,0
51,41,0
51,42,0
51,43,0
51,44,0
51,45,0
51,46,0.0314256596
51,47,0
51,48,0
51,49,0
51,50,0.0314256596
51,51,0
51,52,0.0314256596
52,1,0.0155423149
52,2,0.0777115744
52,3,0
52,4,0.0310846298
52,5,0.0310846298
52,6,0.0621692595
52,7,0.0777115744
52,8,0.0777115744
52,9,0.1087962042
52,10,0.0466269447
52,11,0.0310846298
52,12,0.0155423149
52,13,0.0932538893
