UF,População,Média geométrica do pico de infecção das temporadas regulares,região de baixa atividade típica,limiar pré-epidêmico,intensidade alta,intensidade muito alta,SE típica do início do surto,"SE típica do início do surto - IC inferior (2,5%)","SE típica do início do surto - IC superior (97,5%)",duração típica do surto,"duração típica do surto - IC inferior (2,5%)","duração típica do surto - IC superior (97,5%)",ano,Unidade da Federação,Tipo,dado,escala
32,4016356,0.031088594784988918,1,0.012449095647895756,0.03579859715575373,0.04979638259158302,,,,,,,2017,Espírito Santo,Estado,sragflu,incidência
33,16718956,0.0217831879521141,0,0.017042209599418646,0.028794949039308907,0.036299180426501376,26.0,16.0,29.0,6.0,6.0,11.0,2017,Rio de Janeiro,Estado,sragflu,incidência
35,45094866,0.03188669150960738,0,0.0186527113232585,0.060644414317322926,0.0972688128199972,17.0,17.0,19.0,10.0,8.0,10.0,2017,São Paulo,Estado,sragflu,incidência
41,11320892,0.21777576833600032,0,0.04211888128134278,0.3070218788478756,0.5385282961703404,20.0,9.0,22.0,13.0,12.0,14.0,2017,Paraná,Estado,sragflu,incidência
42,7001161,0.09156062952044487,0,0.0264800832586195,0.12896278209485312,0.159674000787426,24.0,18.0,26.0,10.0,5.0,15.0,2017,Santa Catarina,Estado,sragflu,incidência
43,11322895,0.4727855684145558,0,0.045251698159288346,0.720829437112381,1.3323342811055796,22.0,13.0,27.0,10.0,9.0,12.0,2017,Rio Grande do Sul,Estado,sragflu,incidência
50,2713147,0.2682361452413002,0,0.04033194006313491,0.34231340347669337,0.5578202974276166,20.0,19.0,21.0,11.0,6.0,14.0,2017,Mato Grosso do Sul,Estado,sragflu,incidência
51,3344544,0.03554065670867212,1,0.014949721098003197,0.05441322623094669,0.06548286819878335,,,,,,,2017,Mato Grosso,Estado,sragflu,incidência
52,6778772,0.07062155517164018,0,0.02693271516356116,0.07890926528865684,0.1147049801624501,17.0,13.0,35.0,7.0,1.0,11.0,2017,Goiás,Estado,sragflu,incidência
53,3039444,0.09431346969412448,1,0.01645037710844484,0.12976675606767185,0.1645538679264813,,,,,,,2017,Distrito Federal,Estado,sragflu,incidência
BR,207660929,0.030644267150574382,0,0.011042950536895342,0.030991321719204174,0.039547778292358116,18.0,7.0,23.0,12.0,8.0,17.0,2017,Brasil,País,sragflu,incidência
RegC,27644815,0.05404442015955983,0,0.01905344082548649,0.055490742501519585,0.07869671852227883,15.0,8.0,33.0,9.0,8.0,18.0,2017,Regional Centro,Regional,sragflu,incidência
RegL,67770757,0.011511942210270862,0,0.005768917654611218,0.01646385440456055,0.019862228855761943,15.0,8.0,33.0,8.0,5.0,18.0,2017,Regional Leste,Regional,sragflu,incidência
RegN,16386007,0.024742294775545442,0,0.006878158970486364,0.031582295069782614,0.04022404803047275,10.0,9.0,22.0,6.0,3.0,9.0,2017,Regional Norte,Regional,sragflu,incidência
